County ,Fire Name ,Start Date,End Date,Fire Size in Acre,Type of Terrian,Cause,Structures Damaged/Destroyed,Fire Fatalities ,Civil Fatalities 
SAN BERNARDINO,SLIDE,10/22/07,10/31/07,"12,759",TG,UI,315,0,0
SAN DIEGO,RICE,10/22/07,11/5/07,"9,472",G,HUMAN/OTHER,494,0,0
SAN BERNARDINO,GRASS VALLEY,10/22/07,10/29/07,"1,247",TB,UI,200,0,0
LOS ANGELES,MAGIC,10/22/07,10/27/07,"2,824",BG,UI,0,0,0
SAN DIEGO,CORONADO HILLS,10/22/07,10/23/07,300,B,UI,2,0,0
SAN DIEGO,POOMACHA,10/23/07,11/11/07,"49,410",B,MISC.,229,0,0
SAN DIEGO,AMMO FIRE,10/23/07,10/28/07,"21,004",G,UI,0,0,0
MARIPOSA,JACK,10/29/07,12/15/07,"1,108",TB,LIGHTNING,0,0,0
MONO,O'HARRELL,10/30/07,11/15/07,560,TG,LIGHTNING,0,0,0
LOS ANGELES,CORRAL,11/24/07,11/27/07,"4,901",B,HUMAN,132,0,0
San Bernardino,Bluff,3/16/08,3/20/08,680,"Brush, Grass",Campfire,0,0,0
Tehama-Glenn,Colyear,5/6/08,5/9/08,"1,331",Brush,Debris,0,0,0
Fresno-Kings,Avocado,5/20/08,5/21/08,"1,100",Grass,Equipment Use,0,0,0
Fresno-Kings,Gatos,5/22/08,5/22/08,331,Grass,Miscellaneous,0,0,0
Santa Clara,Summit,5/22/08,6/15/08,"4,270",Timber,Unidentified,91,0,0
Riverside,Johnson VMP,5/28/08,5/29/08,424,Grass,"Debris, veg burn",0,0,0
Sonoma-Lake-Napa,85,6/5/08,6/5/08,322,Grass,Equipment Use,0,0,0
Sonoma-Lake-Napa,Pine,6/10/08,10/14/08,989,"Brush, Grass",Unidentified,0,0,0
Tuolumne-Calaveras,LaGrange,6/10/08,6/12/08,"1,346",Grass,Equipment Use,2,0,0
Mardera-Mariposa,41,6/10/08,6/11/08,"3,300",Grass,Equipment Use,0,0,0
Butte,Ophir,6/10/08,6/11/08,"1,600",Grass,Unidentified,41,0,0
Butte,Humboldt,6/11/08,6/16/08,"23,344",Grass,Arson,351,0,0
San Mateo-Santa Cruz,Martin Fire,6/11/08,6/30/08,520,"Timber, Grass",Campfire,14,0,0
San Mateo-Santa Cruz,Trabing,6/20/08,6/22/08,630,"Timber, Brush, Grass",Equipment Use,87,0,0
Mendocino,Albion River Lightning,6/20/08,6/30/08,"1,000",Timber,Lightning,0,0,0
San Benito-Monterey,Brown Complex,6/21/08,6/25/08,"3,870",Grass,Lightning,0,0,0
Mendocino,Mallo-B Lightning,6/21/08,7/17/08,"4,466",Timber,Lightning,0,0,0
Mendocino,Brushy 3 Lightning,6/21/08,7/13/08,327,Grass,Lightning,0,0,0
Mendocino,Oso Lightning,6/21/08,7/13/08,373,Brush,Lightning,0,0,0
Mendocino,Red Mtn 1 Lightning,6/21/08,8/1/08,"7,515",Unknown,Lightning,0,0,0
Mendocino,Wagers Lightning,6/21/08,6/21/08,"3,000",Timber,Lightning,0,0,0
Sonoma-Lake-Napa,Wild,6/21/08,6/26/08,"4,200",Grass,Unidentified,1,0,0
Shasta-Trinity,STA 57 ONO CDF IGO 2,6/21/08,7/24/08,"4,000",Timber,Lightning,9,0,0
Shasta-Trinity,Whitmore Rd/Old Cow C2,6/21/08,7/15/08,"2,054",Timber,Lightning,0,0,0
Shasta-Trinity,Coleman Fish Hatchery,6/21/08,7/2/08,388,Timber,Lightning,0,0,0
Shasta-Trinity,Donkey Mine Rd/Oak RU,6/21/08,7/2/08,557,"Brush, Grass",Lightning,0,0,0
Shasta-Trinity,EO2A,6/21/08,7/6/08,"1,200",Brush,Lightning,0,0,0
Shasta-Trinity,Stein,6/21/08,7/7/08,"1,148",Timber,Lightning,0,0,0
Shasta-Trinity,Moon,6/21/08,8/9/08,"6,030",Timber,Lightning,0,0,0
Mendocino,Daugherty Gate,6/21/08,7/13/08,"3,000",Timber,Lightning,0,0,0
Shasta-Trinity,IGO 6,6/21/08,7/24/08,"4,200",Timber,Lightning,0,0,0
Shasta-Trinity,Plantina 4,6/21/08,7/4/08,"12,980",Timber,Lightning,0,0,0
Shasta-Trinity,Lewiston 8,6/21/08,7/23/08,"1,311",Timber,Lightning,0,0,0
Shasta-Trinity,IGO 13,6/21/08,7/24/08,600,Timber,Lightning,0,0,0
Shasta-Trinity,IGO 15,6/21/08,7/24/08,"1,200",Timber,Lightning,0,0,0
Shasta-Trinity,IGO 16,6/21/08,7/24/08,"4,800",Timber,Lightning,0,0,0
Shasta-Trinity,IGO 17,6/21/08,7/24/08,"2,400",Timber,Lightning,0,0,0
Shasta-Trinity,IGO 18,6/21/08,7/24/08,"4,200",Timber,Lightning,0,0,0
Shasta-Trinity,Lakehead,6/21/08,8/23/08,"27,936",Brush,Lightning,12,0,0
Butte,Breakneck,6/21/08,7/9/08,715,Timber,Lightning,0,0,0
Butte,West Branch,6/21/08,6/21/08,"3,206",Unknown,Lightning,0,0,0
Butte,Frey,6/21/08,7/28/08,"4,000",Timber,Lightning,0,0,0
Butte,Flea Valley,6/21/08,6/21/08,"1,248",Timber,Lightning,0,0,0
Butte,Lynch,6/21/08,6/21/08,800,Timber,Lightning,0,0,0
Humboldt-Del Norte,Paradise,6/21/08,8/1/08,"1,076",Timber,Lightning,0,0,0
Mendocino,Brushy 1 Lightning,6/21/08,6/26/08,391,Grass,Lightning,0,0,0
Shasta-Trinity,Venture,6/22/08,7/4/08,"1,912",Timber,Lightning,0,0,0
San Mateo-Santa Cruz,Quarry,6/22/08,6/29/08,300,"Timber, Brush, Grass",Unidentified,0,0,0
Mendocino,Cliff Ridge B Lightning,6/22/08,7/12/08,999,Timber,Miscellaneous,0,0,0
Mendocino,5-8 Cliff Lightning,6/22/08,7/13/08,"1,000",Timber,Lightning,0,0,0
Sonoma-Lake-Napa,Walker,6/22/08,6/29/08,"15,000",Timber,Human,0,0,0
Mendocino,Shamrock East Lightning,6/22/08,7/12/08,469,Timber,Lightning,0,0,0
Mendocino,Orr Incident,6/22/08,7/10/08,"3,000",Timber,Lightning,0,0,0
Lassen-Modoc,Popcorn,6/22/08,7/8/08,"3,000","Timber, Woodland",Lightning,0,0,0
Madera-Mariposa-Merced,Oliver / MRP 588,6/23/08,7/6/08,"2,789","Timber, Brush, Grass",Lightning,0,0,0
Lassen-Modoc,Corral,6/23/08,7/7/08,"12,500",Timber,Lightning,0,0,0
Tehama-Glenn,Mill Creek,6/24/08,7/1/08,"13,580",Grass,Lightning,0,0,0
Mendocino,Juan Creek Lightning,6/27/08,7/15/08,450,"Brush, Grass",Unidentified,0,0,0
Mendocino,Hardy,6/30/08,6/30/08,"5,581","Timber, Brush, Grass",Lightning,0,0,0
